Year,State,State ANSI,County,County ANSI,Commodity,Value
2021,ILLINOIS,17,LOGAN,107,WHEAT,89
2021,ILLINOIS,17,MACON,115,WHEAT,86.900000000000006
2021,ILLINOIS,17,MASON,125,WHEAT,79.299999999999997
2021,ILLINOIS,17,MENARD,129,WHEAT,88.099999999999994
2021,ILLINOIS,17,PEORIA,143,WHEAT,78.700000000000003
2021,ILLINOIS,17,STARK,175,WHEAT,87.599999999999994
2021,ILLINOIS,17,TAZEWELL,179,WHEAT,82.599999999999994
2021,ILLINOIS,17,WOODFORD,203,WHEAT,78.5
2021,ILLINOIS,17,IROQUOIS,75,WHEAT,80
2021,ILLINOIS,17,KANKAKEE,91,WHEAT,89.599999999999994
2021,ILLINOIS,17,LIVINGSTON,105,WHEAT,87.099999999999994
2021,ILLINOIS,17,PIATT,147,WHEAT,82.5
2021,ILLINOIS,17,VERMILION,183,WHEAT,91.200000000000003
2021,ILLINOIS,17,CLARK,23,WHEAT,87.200000000000003
2021,ILLINOIS,17,CLAY,25,WHEAT,78.099999999999994
2021,ILLINOIS,17,CRAWFORD,33,WHEAT,77.799999999999997
2021,ILLINOIS,17,CUMBERLAND,35,WHEAT,85.799999999999997
2021,ILLINOIS,17,EFFINGHAM,49,WHEAT,89.400000000000006
2021,ILLINOIS,17,FAYETTE,51,WHEAT,73.099999999999994
2021,ILLINOIS,17,JASPER,79,WHEAT,83.200000000000003
2021,ILLINOIS,17,MARION,121,WHEAT,76.799999999999997
2021,ILLINOIS,17,RICHLAND,159,WHEAT,80.099999999999994
2021,ILLINOIS,17,SHELBY,173,WHEAT,70.5
2021,ILLINOIS,17,BOONE,7,WHEAT,70.599999999999994
2021,ILLINOIS,17,DE KALB,37,WHEAT,78.799999999999997
2021,ILLINOIS,17,KANE,89,WHEAT,73
2021,ILLINOIS,17,LA SALLE,99,WHEAT,86.700000000000003
2021,ILLINOIS,17,LAKE,97,WHEAT,81.099999999999994
2021,ILLINOIS,17,MCHENRY,111,WHEAT,67
2021,ILLINOIS,17,BUREAU,11,WHEAT,88.700000000000003
2021,ILLINOIS,17,CARROLL,15,WHEAT,74.799999999999997
2021,ILLINOIS,17,HENRY,73,WHEAT,79.5
2021,ILLINOIS,17,OGLE,141,WHEAT,92.900000000000006
2021,ILLINOIS,17,STEPHENSON,177,WHEAT,82.900000000000006
2021,ILLINOIS,17,WINNEBAGO,201,WHEAT,75.099999999999994
2021,ILLINOIS,17,EDWARDS,47,WHEAT,82.200000000000003
2021,ILLINOIS,17,FRANKLIN,55,WHEAT,71.099999999999994
2021,ILLINOIS,17,GALLATIN,59,WHEAT,95.900000000000006
2021,ILLINOIS,17,JEFFERSON,81,WHEAT,57.700000000000003
2021,ILLINOIS,17,WABASH,185,WHEAT,69.400000000000006
2021,ILLINOIS,17,WAYNE,191,WHEAT,79.5
2021,ILLINOIS,17,WHITE,193,WHEAT,68.799999999999997
2021,ILLINOIS,17,CLINTON,27,WHEAT,86.900000000000006
2021,ILLINOIS,17,JACKSON,77,WHEAT,69
2021,ILLINOIS,17,MONROE,133,WHEAT,74.599999999999994
2021,ILLINOIS,17,PERRY,145,WHEAT,77.599999999999994
2021,ILLINOIS,17,PULASKI,153,WHEAT,80.900000000000006
2021,ILLINOIS,17,RANDOLPH,157,WHEAT,85.299999999999997
2021,ILLINOIS,17,ST CLAIR,163,WHEAT,82.700000000000003
2021,ILLINOIS,17,UNION,181,WHEAT,66
2021,ILLINOIS,17,WASHINGTON,189,WHEAT,83.099999999999994
2021,ILLINOIS,17,ADAMS,1,WHEAT,63.600000000000001
2021,ILLINOIS,17,BROWN,9,WHEAT,69.400000000000006
2021,ILLINOIS,17,HANCOCK,67,WHEAT,83.799999999999997
2021,ILLINOIS,17,KNOX,95,WHEAT,71.400000000000006
2021,ILLINOIS,17,SCHUYLER,169,WHEAT,75.299999999999997
2021,ILLINOIS,17,WARREN,187,WHEAT,65.799999999999997
2021,ILLINOIS,17,BOND,5,WHEAT,81.900000000000006
2021,ILLINOIS,17,CALHOUN,13,WHEAT,71
2021,ILLINOIS,17,GREENE,61,WHEAT,81.900000000000006
2021,ILLINOIS,17,JERSEY,83,WHEAT,81.299999999999997
2021,ILLINOIS,17,MACOUPIN,117,WHEAT,76.200000000000003
2021,ILLINOIS,17,MADISON,119,WHEAT,81.5
2021,ILLINOIS,17,MONTGOMERY,135,WHEAT,81.599999999999994
2021,ILLINOIS,17,PIKE,149,WHEAT,77.200000000000003
2021,INDIANA,18,BARTHOLOMEW,5,WHEAT,84.599999999999994
2021,INDIANA,18,BOONE,11,WHEAT,95
2021,INDIANA,18,CLINTON,23,WHEAT,104
2021,INDIANA,18,DECATUR,31,WHEAT,83.5
2021,INDIANA,18,GRANT,53,WHEAT,84.700000000000003
2021,INDIANA,18,HANCOCK,59,WHEAT,82.5
2021,INDIANA,18,HOWARD,67,WHEAT,93.900000000000006
2021,INDIANA,18,MADISON,95,WHEAT,83.700000000000003
2021,INDIANA,18,MORGAN,109,WHEAT,78
2021,INDIANA,18,RUSH,139,WHEAT,92.200000000000003
2021,INDIANA,18,SHELBY,145,WHEAT,85.400000000000006
2021,INDIANA,18,TIPTON,159,WHEAT,94
2021,INDIANA,18,DELAWARE,35,WHEAT,86.299999999999997
2021,INDIANA,18,FAYETTE,41,WHEAT,82
2021,INDIANA,18,HENRY,65,WHEAT,92
2021,INDIANA,18,RANDOLPH,135,WHEAT,82.200000000000003
2021,INDIANA,18,WAYNE,177,WHEAT,76.700000000000003
2021,INDIANA,18,ELKHART,39,WHEAT,85.799999999999997
